,USER_ID,first_name,last_name,email,gender,address,state,mobile,zip_code,age,categories
0,1,Ashwathy,Menon,am5683@columbia.edu,Female,212 Sunnyslope St. Lockport,New York,646-207-5153,14094,30,sports-and-fitness
1,2,Jyothsna,Kodandera,jsk2260@columbia.edu,Female,7 Big Rock Cove St. Staten Island,New York,917-610-9133,10314,31,business
2,3,Remy,Fessions,rfessions9p@a8.net,Male,290 Fairfield St. Patchogue,New York,518-672-4091,11772,49,food-and-drink
3,4,Worth,Duling,wduling4l@msn.com,Male,7075 Young Ave. Brooklyn,New York,718-527-6085,11220,34,fashion
4,5,Elka,Allison,eallisonpv@tinypic.com,Male,7674 Colonial Street New York,New York,917-698-9382,10128,48,food-and-drink
5,6,Deerdre,Pettman,dpettmanfs@fda.gov,Female,56 Brickyard Ave. New York,New York,917-401-0624,10023,24,travel-and-outdoor
6,7,Dud,Harberer,dharberer4f@4shared.com,Female,10 East Canterbury St. Levittown,New York,917-751-8394,11756,30,health
7,8,Swetha,Shanmugam,ss6357@columbia.edu,Female,552 Birchwood Ave. Lindenhurst,New York,518-648-6071,11757,19,film-and-media
8,9,Carma,Edmondson,cedmondsonh4@yale.edu,Female,408 Ocean Ave. Bronx,New York,347-496-4193,10451,33,business
9,10,Evangeline,Baurerich,ebaureriche5@newyorker.com,Non-binary,36 Prospect Ave. Astoria,New York,585-950-4607,11106,44,science-and-tech
10,11,Heida,Ferby,hferbyj6@gmpg.org,Female,582 Woodside St. Bronx,New York,212-538-8037,10457,32,fashion
11,12,Cosette,Gainor,cgainor4j@slideshare.net,Male,437 Prince Avenue Spring Valley,New York,518-102-0946,10977,39,sports-and-fitness
12,13,Hall,Thebeaud,hthebeaud9q@mashable.com,Non-binary,7450 Cobblestone Road Far Rockaway,New York,518-171-0306,11691,41,travel-and-outdoor
13,14,Audry,Beringer,aberingerjz@de.vu,Non-binary,7732 East Plymouth Street Brooklyn,New York,646-346-0939,11201,35,charity-and-causes
